variant,size_label,size_bytes,iteration,phase,duration_ns
C_raw,1KB,1024,13,t0_t6_total,725500
C_raw,1KB,1024,14,t0_t1_validation,403800
C_raw,1KB,1024,14,t1_t2_encode,4500
C_raw,1KB,1024,14,t2_t3_write,642100
C_raw,1KB,1024,14,t3_t4_rename,0
C_raw,1KB,1024,14,t4_t5_audit,0
C_raw,1KB,1024,14,t5_t6_return,0
C_raw,1KB,1024,14,t0_t6_total,1050400
C_raw,1KB,1024,15,t0_t1_validation,407000
C_raw,1KB,1024,15,t1_t2_encode,8400
C_raw,1KB,1024,15,t2_t3_write,995300
C_raw,1KB,1024,15,t3_t4_rename,0
C_raw,1KB,1024,15,t4_t5_audit,0
C_raw,1KB,1024,15,t5_t6_return,0
C_raw,1KB,1024,15,t0_t6_total,1410700
C_raw,1KB,1024,16,t0_t1_validation,423800
C_raw,1KB,1024,16,t1_t2_encode,5300
C_raw,1KB,1024,16,t2_t3_write,661000
C_raw,1KB,1024,16,t3_t4_rename,0
